title,genre,score,ranked,aired,episodes
Hidamari Sketch x Honeycomb,"Slice of Life, Comedy, School, Seinen",7.97,618.0,"Oct 5, 2012 to Dec 21, 2012",12.0
Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",7.97,617.0,"Apr 5, 2014 to Mar 26, 2016",102.0
There She Is!!,"Comedy, Romance",7.98,615.0,"Apr 20, 2003 to Dec 9, 2008",5.0
Tanaka-kun wa Itsumo Kedaruge,"Slice of Life, Comedy, School",7.98,613.0,"Apr 9, 2016 to Jun 25, 2016",12.0
Tentai Senshi Sunred 2nd Season,"Comedy, Parody, Seinen, Super Power",7.98,614.0,"Oct 3, 2009 to Mar 27, 2010",26.0
Sakigake!! Cromartie Koukou,"Comedy, School, Shounen",7.98,612.0,"Oct 3, 2003 to Mar 26, 2004",26.0
Junjou Romantica 3,"Comedy, Drama, Romance, Shounen Ai",7.98,610.0,"Jul 9, 2015 to Sep 24, 2015",12.0
Bishoujo Senshi Sailor Moon: Sailor Stars,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo",7.98,608.0,"Mar 9, 1996 to Feb 8, 1997",34.0
Soul Eater,"Action, Fantasy, Comedy, Supernatural, Shounen",7.99,606.0,"Apr 7, 2008 to Mar 30, 2009",51.0
Shirokuma Cafe,"Slice of Life, Comedy, Josei",7.99,605.0,"Apr 5, 2012 to Mar 28, 2013",50.0
School Rumble,"Comedy, Romance, School, Shounen",7.99,604.0,"Oct 5, 2004 to Mar 29, 2005",26.0
Non Non Biyori,"Comedy, School, Seinen, Slice of Life",7.99,603.0,"Oct 8, 2013 to Dec 24, 2013",12.0
Lupin III vs. Detective Conan: The Movie,"Action, Comedy, Mystery, Shounen",7.99,602.0,"Dec 7, 2013",1.0
Kekkai Sensen & Beyond,"Action, Comedy, Fantasy, Shounen, Super Power, Supernatural, Vampire",7.99,601.0,"Oct 8, 2017 to Dec 24, 2017",12.0
Hanasaku Iroha,"Slice of Life, Comedy, Drama",7.99,599.0,"Apr 3, 2011 to Sep 25, 2011",26.0
City Hunter,"Action, Comedy, Mystery, Shounen",7.99,595.0,"Apr 6, 1987 to Mar 28, 1988",51.0
Boku no Hero Academia the Movie 2: Heroes:Rising,"Action, Comedy, Super Power, School, Shounen",7.97,594.0,"Dec 20, 2019",1.0
Beelzebub,"Action, Comedy, Demons, Supernatural, School, Shounen",7.99,593.0,"Jan 9, 2011 to Mar 25, 2012",60.0
Yakitate!! Japan,"Comedy, Shounen",8.0,592.0,"Oct 12, 2004 to Mar 14, 2006",69.0
Tong Ling Fei,"Comedy, Historical, Drama, Romance",8.0,590.0,"Nov 30, 2018 to Apr 19, 2019",16.0
xxxHOLiC Movie: Manatsu no Yoru no Yume,"Mystery, Comedy, Psychological, Supernatural, Drama",8.0,591.0,"Aug 20, 2005",1.0
Tiger & Bunny,"Action, Mystery, Comedy, Super Power",8.0,589.0,"Apr 3, 2011 to Sep 18, 2011",25.0
Shijou Saikyou no Deshi Kenichi OVA,"Action, Martial Arts, Comedy, School, Shounen",8.0,588.0,"Mar 14, 2012 to May 16, 2014",11.0
Lupin III: Part 5,"Action, Adventure, Mystery, Comedy, Seinen",8.0,583.0,"Apr 4, 2018 to Sep 19, 2018",24.0
Yuru Yuri San☆Hai!,"Comedy, School, Shoujo Ai, Slice of Life",8.01,576.0,"Oct 6, 2015 to Dec 22, 2015",12.0
Ushio to Tora (TV) 2nd Season,"Action, Adventure, Comedy, Demons, Supernatural, Shounen",8.01,574.0,"Apr 1, 2016 to Jun 24, 2016",13.0
Sekaiichi Hatsukoi: Valentine-hen,"Romance, Comedy, Shounen Ai",8.01,572.0,"Mar 15, 2014",1.0
Saiunkoku Monogatari,"Adventure, Fantasy, Comedy, Romance, Historical, Drama",8.01,571.0,"Apr 8, 2006 to Feb 24, 2007",39.0
Ookiku Furikabutte,"Comedy, Seinen, Sports",8.01,570.0,"Apr 13, 2007 to Sep 28, 2007",25.0
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",8.01,569.0,"Aug 26, 2017",1.0
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,"Adventure, Comedy, Fantasy, Shounen",8.01,568.0,"Aug 30, 2014",1.0
Mawaru Penguindrum,"Mystery, Comedy, Dementia, Psychological, Drama",8.01,566.0,"Jul 8, 2011 to Dec 23, 2011",24.0
Kuuchuu Buranko,"Comedy, Psychological, Drama, Seinen",8.01,565.0,"Oct 15, 2009 to Dec 24, 2009",11.0
Kaleido Star,"Comedy, Sports, Drama, Fantasy, Shoujo",8.01,564.0,"Apr 3, 2003 to Mar 27, 2004",51.0
Gintama: Dai Hanseikai,"Action, Comedy, Parody, Samurai",8.01,560.0,"Mar 25, 2010",1.0
Drifters,"Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen",8.01,557.0,"Oct 7, 2016 to Dec 23, 2016",12.0
Detective Conan OVA 09: The Stranger in 10 Years...,"Adventure, Comedy, Mystery, Police, Shounen",8.01,556.0,"Jun 17, 2009",1.0
Trigun: Badlands Rumble,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",8.02,553.0,"Apr 2, 2010",1.0
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,"Action, Comedy, Sports",8.02,552.0,"Jun 22, 2007 to Jan 25, 2008",6.0
Tennis no Ouji-sama: Zenkoku Taikai-hen,"Action, Comedy, Sports, Shounen",8.02,551.0,"Mar 24, 2006 to Mar 23, 2007",13.0
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,"Comedy, School, Shounen",8.02,550.0,"Feb 4, 2013",1.0
Nekomonogatari: Kuro,"Comedy, Supernatural, Romance, Ecchi",8.02,548.0,"Dec 31, 2012",4.0
Kami nomi zo Shiru Sekai II,"Comedy, Harem, Romance, Shounen, Supernatural",8.02,544.0,"Apr 12, 2011 to Jun 28, 2011",12.0
Eyeshield 21,"Action, Sports, Comedy, Shounen",8.02,542.0,"Apr 6, 2005 to Mar 19, 2008",145.0
Azumanga Daioh,"Slice of Life, Comedy, School",8.02,540.0,"Apr 9, 2002 to Oct 1, 2002",26.0
Ore Monogatari!!,"Comedy, Romance, Shoujo",8.03,537.0,"Apr 9, 2015 to Sep 24, 2015",24.0
Noragami Aragoto OVA,"Action, Adventure, Comedy, Supernatural, Shounen",8.03,536.0,"Nov 17, 2015 to Mar 17, 2016",2.0
Little Witch Academia (TV),"Adventure, Comedy, Fantasy, Magic, School",8.03,534.0,"Jan 9, 2017 to Jun 26, 2017",25.0
Kurenai no Buta,"Action, Adventure, Comedy, Drama, Historical, Military, Romance",8.03,533.0,"Jul 18, 1992",1.0
Kobato.,"Comedy, Drama, Romance, Fantasy",8.03,532.0,"Oct 6, 2009 to Mar 23, 2010",24.0
High Score Girl,"Game, Comedy, Romance, School, Seinen",8.03,529.0,"Jul 14, 2018 to Sep 28, 2018",12.0
Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",8.03,527.0,"Apr 6, 2002 to Mar 29, 2003",52.0
Wotaku ni Koi wa Muzukashii,"Comedy, Romance, Slice of Life",8.04,524.0,"Apr 13, 2018 to Jun 22, 2018",11.0
Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama, Magic, Super Power",8.04,523.0,"Oct 2, 2005 to Dec 25, 2005",13.0
Kimi to Boku. 2,"Comedy, Drama, Romance, School, Shounen, Slice of Life",8.04,521.0,"Apr 3, 2012 to Jun 26, 2012",13.0
Kamisama Hajimemashita OVA,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",8.04,520.0,"Aug 20, 2013",2.0
Hanamonogatari,"Mystery, Comedy, Supernatural",8.04,518.0,"Aug 16, 2014",5.0
Golden Boy,"Adventure, Comedy, Ecchi",8.04,517.0,"Oct 27, 1995 to Jun 28, 1996",6.0
Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",8.05,512.0,"Oct 12, 2008 to Dec 28, 2008",12.0
Free!: Eternal Summer - Kindan no All Hard!,"Comedy, School, Slice of Life",8.05,510.0,"Mar 18, 2015",1.0
Tamako Love Story,"Comedy, Romance, Slice of Life",8.06,505.0,"Apr 26, 2014",1.0
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen",8.06,495.0,"Sep 24, 2005",1.0
FLCL,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",8.06,493.0,"Apr 26, 2000 to Mar 16, 2001",6.0
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,"Comedy, Shounen, Slice of Life",8.06,489.0,"Jun 25, 2008",1.0
Yuri!!! on Ice,"Comedy, Sports",8.07,488.0,"Oct 6, 2016 to Dec 22, 2016",12.0
Sekaiichi Hatsukoi OVA,"Comedy, Drama, Romance, Shounen Ai",8.07,486.0,"Mar 22, 2011 to Sep 27, 2011",2.0
One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",8.07,484.0,"Jul 23, 2016",1.0
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,"Comedy, Sports, School, Shounen",8.08,478.0,"Apr 25, 2008 to Jan 23, 2009",7.0
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"Comedy, Drama, Romance, Shounen Ai",8.08,477.0,"Mar 15, 2014",1.0
School Rumble Ni Gakki,"Comedy, Romance, School, Shounen",8.08,476.0,"Apr 3, 2006 to Sep 25, 2006",26.0
Saenai Heroine no Sodatekata Fine,"Comedy, Ecchi, Harem, Romance, School",8.06,505.0,"Oct 26, 2019",1.0
One Piece Film: Strong World Episode 0,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",8.08,475.0,"Apr, 2010",1.0
Kokoro Connect: Michi Random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",8.08,471.0,"Nov 19, 2012 to Dec 10, 2012",4.0
Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",8.08,467.0,"Jul 7, 2014 to Sep 22, 2014",12.0
Working!!!,"Comedy, Romance, Seinen, Slice of Life",8.09,464.0,"Jul 5, 2015 to Sep 27, 2015",13.0
Ookiku Furikabutte: Natsu no Taikai-hen,"Comedy, Seinen, Sports",8.09,461.0,"Apr 2, 2010 to Jun 25, 2010",13.0
Maison Ikkoku,"Slice of Life, Comedy, Drama, Romance, Seinen",8.09,460.0,"Mar 26, 1986 to Mar 2, 1988",96.0
Hanada Shounen-shi,"Slice of Life, Comedy, Supernatural, Drama, Seinen",8.09,457.0,"Oct 2, 2002 to Mar 26, 2003",25.0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Slice of Life, Comedy, Drama, Romance, School",8.1,453.0,"Apr 5, 2013 to Jun 28, 2013",13.0
Tanoshii Muumin Ikka,"Adventure, Comedy, Fantasy, Kids, Slice of Life",8.1,450.0,"Apr 12, 1990 to Oct 3, 1991",78.0
Slayers Next,"Adventure, Comedy, Demons, Magic, Fantasy",8.1,449.0,"Apr 5, 1996 to Sep 27, 1996",26.0
Osomatsu-san,"Comedy, Parody",8.1,446.0,"Oct 6, 2015 to Mar 29, 2016",25.0
Noragami,"Action, Adventure, Comedy, Supernatural, Shounen",8.1,445.0,"Jan 5, 2014 to Mar 23, 2014",12.0
Kyou kara Ore wa!!,"Comedy, Shounen",8.1,444.0,"Dec 11, 1992 to Dec 21, 1997",10.0
Detective Conan Movie 15: Quarter of Silence,"Adventure, Comedy, Mystery, Police, Shounen",8.1,441.0,"Apr 16, 2011",1.0
Stand By Me Doraemon,"Comedy, Kids, Sci-Fi, Shounen",8.11,439.0,"Aug 8, 2014",1.0
Kamisama Hajimemashita,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",8.11,437.0,"Oct 2, 2012 to Dec 25, 2012",13.0
Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life",8.11,436.0,"Apr 15, 2005 to Sep 27, 2005",24.0
